"","taxa","localityID","count","region","genus","site","phylum","method","pa","num_samples","num_samples_found","prop_samples_found"
"58","Actinia fragacea","SW07",0,"South Wales","Actinia","Dale Jetty","Cnidaria","Visual",0,NA,NA,NA
"59","Alaria esculenta","CN01",6.022367813,"Southwest England","Alaria","Lizard Point","Ochrophyta","Visual",1,NA,NA,NA
"60","Alaria esculenta","CN02",2.321928095,"Southwest England","Alaria","Sennen Cove","Ochrophyta","Visual",1,NA,NA,NA
"61","Alaria esculenta","CN03",0,"Southwest England","Alaria","Looe","Ochrophyta","Visual",0,NA,NA,NA
"62","Alaria esculenta","CN04",2.321928095,"Southwest England","Alaria","St Ives","Ochrophyta","Visual",1,NA,NA,NA
"63","Alaria esculenta","CN05",0,"Southwest England","Alaria","Trevone","Ochrophyta","Visual",0,NA,NA,NA
"64","Alaria esculenta","NE01",0,"Northeast England","Alaria","Filey Brigg","Ochrophyta","Visual",0,NA,NA,NA
"65","Alaria esculenta","NE02",0,"Northeast England","Alaria","Scalby Mills","Ochrophyta","Visual",0,NA,NA,NA
"66","Alaria esculenta","NE03",6.022367813,"Northeast England","Alaria","Rumbling Kern","Ochrophyta","Visual",1,NA,NA,NA
"67","Alaria esculenta","NE04",7.011227255,"Northeast England","Alaria","Newton Point","Ochrophyta","Visual",1,NA,NA,NA
"68","Alaria esculenta","NE05",6.022367813,"Northeast England","Alaria","Castlehead Rocks","Ochrophyta","Visual",1,NA,NA,NA
"69","Alaria esculenta","NW01",0,"North Wales","Alaria","Little Orme","Ochrophyta","Visual",0,NA,NA,NA
"70","Alaria esculenta","NW02",0,"North Wales","Alaria","Great Orme East","Ochrophyta","Visual",0,NA,NA,NA
"71","Alaria esculenta","NW03",0,"North Wales","Alaria","Menai Bridge","Ochrophyta","Visual",0,NA,NA,NA
"72","Alaria esculenta","NW04",0,"North Wales","Alaria","Porth Swtan","Ochrophyta","Visual",0,NA,NA,NA
"73","Alaria esculenta","NW05",0,"North Wales","Alaria","Rhosneigr","Ochrophyta","Visual",0,NA,NA,NA
"74","Alaria esculenta","NW06",4.087462841,"North Wales","Alaria","Porth Oer","Ochrophyta","Visual",1,NA,NA,NA
"75","Alaria esculenta","SCH01",7.011227255,"Scotland","Alaria","Scourie","Ochrophyta","Visual",1,NA,NA,NA
"76","Alaria esculenta","SCH02",0,"Scotland","Alaria","Rispond","Ochrophyta","Visual",0,NA,NA,NA
"77","Alaria esculenta","SCH03",0,"Scotland","Alaria","Skerray","Ochrophyta","Visual",0,NA,NA,NA
"78","Alaria esculenta","SCH04",0,"Scotland","Alaria","Murkle Bay","Ochrophyta","Visual",0,NA,NA,NA
"79","Alaria esculenta","SCH05",0,"Scotland","Alaria","Portskerra","Ochrophyta","Visual",0,NA,NA,NA
"80","Alaria esculenta","SCH07",0,"Scotland","Alaria","Sannick","Ochrophyta","Visual",0,NA,NA,NA
"81","Alaria esculenta","SCH08",5.044394119,"Scotland","Alaria","Wick","Ochrophyta","Visual",1,NA,NA,NA
"82","Alaria esculenta","SW01",0,"South Wales","Alaria","Aberystwyth","Ochrophyta","Visual",0,NA,NA,NA
"83","Alaria esculenta","SW02",0,"South Wales","Alaria","Neyland","Ochrophyta","Visual",0,NA,NA,NA
"84","Alaria esculenta","SW03",0,"South Wales","Alaria","Broad Haven","Ochrophyta","Visual",0,NA,NA,NA
"85","Alaria esculenta","SW05",0,"South Wales","Alaria","West Angle","Ochrophyta","Visual",0,NA,NA,NA
"86","Alaria esculenta","SW06",0,"South Wales","Alaria","Monkstone Point","Ochrophyta","Visual",0,NA,NA,NA
"87","Alaria esculenta","SW07",0,"South Wales","Alaria","Dale Jetty","Ochrophyta","Visual",0,NA,NA,NA
"88","Anemonia viridis","CN01",3.000434077,"Southwest England","Anemonia","Lizard Point","Cnidaria","Visual",1,NA,NA,NA
"89","Anemonia viridis","CN02",1.041392685,"Southwest England","Anemonia","Sennen Cove","Cnidaria","Visual",1,NA,NA,NA
"90","Anemonia viridis","CN03",2.004321374,"Southwest England","Anemonia","Looe","Cnidaria","Visual",1,NA,NA,NA
"91","Anemonia viridis","CN04",4.000043427,"Southwest England","Anemonia","St Ives","Cnidaria","Visual",1,NA,NA,NA
"92","Anemonia viridis","CN05",1.041392685,"Southwest England","Anemonia","Trevone","Cnidaria","Visual",1,NA,NA,NA
"93","Anemonia viridis","NE01",0,"Northeast England","Anemonia","Filey Brigg","Cnidaria","Visual",0,NA,NA,NA
"94","Anemonia viridis","NE02",0,"Northeast England","Anemonia","Scalby Mills","Cnidaria","Visual",0,NA,NA,NA
"95","Anemonia viridis","NE03",0,"Northeast England","Anemonia","Rumbling Kern","Cnidaria","Visual",0,NA,NA,NA
"96","Anemonia viridis","NE04",0,"Northeast England","Anemonia","Newton Point","Cnidaria","Visual",0,NA,NA,NA
"97","Anemonia viridis","NE05",0,"Northeast England","Anemonia","Castlehead Rocks","Cnidaria","Visual",0,NA,NA,NA
"98","Anemonia viridis","NW01",0,"North Wales","Anemonia","Little Orme","Cnidaria","Visual",0,NA,NA,NA
"99","Anemonia viridis","NW02",0,"North Wales","Anemonia","Great Orme East","Cnidaria","Visual",0,NA,NA,NA
"100","Anemonia viridis","NW03",0,"North Wales","Anemonia","Menai Bridge","Cnidaria","Visual",0,NA,NA,NA
"101","Anemonia viridis","NW04",0,"North Wales","Anemonia","Porth Swtan","Cnidaria","Visual",0,NA,NA,NA
"102","Anemonia viridis","NW05",1.041392685,"North Wales","Anemonia","Rhosneigr","Cnidaria","Visual",1,NA,NA,NA
"103","Anemonia viridis","NW06",5.000004343,"North Wales","Anemonia","Porth Oer","Cnidaria","Visual",1,NA,NA,NA
"104","Anemonia viridis","SCH01",0,"Scotland","Anemonia","Scourie","Cnidaria","Visual",0,NA,NA,NA
"105","Anemonia viridis","SCH02",0,"Scotland","Anemonia","Rispond","Cnidaria","Visual",0,NA,NA,NA
"106","Anemonia viridis","SCH03",0,"Scotland","Anemonia","Skerray","Cnidaria","Visual",0,NA,NA,NA
"107","Anemonia viridis","SCH04",0,"Scotland","Anemonia","Murkle Bay","Cnidaria","Visual",0,NA,NA,NA
"108","Anemonia viridis","SCH05",0,"Scotland","Anemonia","Portskerra","Cnidaria","Visual",0,NA,NA,NA
"109","Anemonia viridis","SCH07",0,"Scotland","Anemonia","Sannick","Cnidaria","Visual",0,NA,NA,NA
"110","Anemonia viridis","SCH08",0,"Scotland","Anemonia","Wick","Cnidaria","Visual",0,NA,NA,NA
"111","Anemonia viridis","SW01",3.000434077,"South Wales","Anemonia","Aberystwyth","Cnidaria","Visual",1,NA,NA,NA
"112","Anemonia viridis","SW02",0,"South Wales","Anemonia","Neyland","Cnidaria","Visual",0,NA,NA,NA
"113","Anemonia viridis","SW03",2.004321374,"South Wales","Anemonia","Broad Haven","Cnidaria","Visual",1,NA,NA,NA
"114","Anemonia viridis","SW05",0,"South Wales","Anemonia","West Angle","Cnidaria","Visual",0,NA,NA,NA
"115","Anemonia viridis","SW06",0,"South Wales","Anemonia","Monkstone Point","Cnidaria","Visual",0,NA,NA,NA
"116","Anemonia viridis","SW07",2.004321374,"South Wales","Anemonia","Dale Jetty","Cnidaria","Visual",1,NA,NA,NA
"117","Ascophyllum nodosum","CN01",2.321928095,"Southwest England","Ascophyllum","Lizard Point","Ochrophyta","Visual",1,NA,NA,NA
"118","Ascophyllum nodosum","CN02",0,"Southwest England","Ascophyllum","Sennen Cove","Ochrophyta","Visual",0,NA,NA,NA
"119","Ascophyllum nodosum","CN03",6.022367813,"Southwest England","Ascophyllum","Looe","Ochrophyta","Visual",1,NA,NA,NA
"120","Ascophyllum nodosum","CN04",0,"Southwest England","Ascophyllum","St Ives","Ochrophyta","Visual",0,NA,NA,NA
"121","Ascophyllum nodosum","CN05",2.321928095,"Southwest England","Ascophyllum","Trevone","Ochrophyta","Visual",1,NA,NA,NA
"122","Ascophyllum nodosum","NE01",6.022367813,"Northeast England","Ascophyllum","Filey Brigg","Ochrophyta","Visual",1,NA,NA,NA
"123","Ascophyllum nodosum","NE02",3.169925001,"Northeast England","Ascophyllum","Scalby Mills","Ochrophyta","Visual",1,NA,NA,NA
"124","Ascophyllum nodosum","NE03",6.022367813,"Northeast England","Ascophyllum","Rumbling Kern","Ochrophyta","Visual",1,NA,NA,NA
"125","Ascophyllum nodosum","NE04",3.169925001,"Northeast England","Ascophyllum","Newton Point","Ochrophyta","Visual",1,NA,NA,NA
"126","Ascophyllum nodosum","NE05",0,"Northeast England","Ascophyllum","Castlehead Rocks","Ochrophyta","Visual",0,NA,NA,NA
"127","Ascophyllum nodosum","NW01",0,"North Wales","Ascophyllum","Little Orme","Ochrophyta","Visual",0,NA,NA,NA
"128","Ascophyllum nodosum","NW02",7.011227255,"North Wales","Ascophyllum","Great Orme East","Ochrophyta","Visual",1,NA,NA,NA
"129","Ascophyllum nodosum","NW03",7.011227255,"North Wales","Ascophyllum","Menai Bridge","Ochrophyta","Visual",1,NA,NA,NA
"130","Ascophyllum nodosum","NW04",0,"North Wales","Ascophyllum","Porth Swtan","Ochrophyta","Visual",0,NA,NA,NA
"131","Ascophyllum nodosum","NW05",7.011227255,"North Wales","Ascophyllum","Rhosneigr","Ochrophyta","Visual",1,NA,NA,NA
"132","Ascophyllum nodosum","NW06",6.022367813,"North Wales","Ascophyllum","Porth Oer","Ochrophyta","Visual",1,NA,NA,NA
"133","Ascophyllum nodosum","SCH01",0,"Scotland","Ascophyllum","Scourie","Ochrophyta","Visual",0,NA,NA,NA
"134","Ascophyllum nodosum","SCH02",7.011227255,"Scotland","Ascophyllum","Rispond","Ochrophyta","Visual",1,NA,NA,NA
"135","Ascophyllum nodosum","SCH03",6.022367813,"Scotland","Ascophyllum","Skerray","Ochrophyta","Visual",1,NA,NA,NA
"136","Ascophyllum nodosum","SCH04",0,"Scotland","Ascophyllum","Murkle Bay","Ochrophyta","Visual",0,NA,NA,NA
"137","Ascophyllum nodosum","SCH05",6.022367813,"Scotland","Ascophyllum","Portskerra","Ochrophyta","Visual",1,NA,NA,NA
"138","Ascophyllum nodosum","SCH07",7.011227255,"Scotland","Ascophyllum","Sannick","Ochrophyta","Visual",1,NA,NA,NA
"139","Ascophyllum nodosum","SCH08",0,"Scotland","Ascophyllum","Wick","Ochrophyta","Visual",0,NA,NA,NA
"140","Ascophyllum nodosum","SW01",6.022367813,"South Wales","Ascophyllum","Aberystwyth","Ochrophyta","Visual",1,NA,NA,NA
"141","Ascophyllum nodosum","SW02",3.169925001,"South Wales","Ascophyllum","Neyland","Ochrophyta","Visual",1,NA,NA,NA
"142","Ascophyllum nodosum","SW03",7.011227255,"South Wales","Ascophyllum","Broad Haven","Ochrophyta","Visual",1,NA,NA,NA
"143","Ascophyllum nodosum","SW05",3.169925001,"South Wales","Ascophyllum","West Angle","Ochrophyta","Visual",1,NA,NA,NA
"144","Ascophyllum nodosum","SW06",3.169925001,"South Wales","Ascophyllum","Monkstone Point","Ochrophyta","Visual",1,NA,NA,NA
"145","Ascophyllum nodosum","SW07",5.044394119,"South Wales","Ascophyllum","Dale Jetty","Ochrophyta","Visual",1,NA,NA,NA
"146","Asparagopsis armata","CN01",5.044394119,"Southwest England","Asparagopsis","Lizard Point","Rhodophyta","Visual",1,NA,NA,NA
"147","Asparagopsis armata","CN02",0,"Southwest England","Asparagopsis","Sennen Cove","Rhodophyta","Visual",0,NA,NA,NA
"148","Asparagopsis armata","CN03",0,"Southwest England","Asparagopsis","Looe","Rhodophyta","Visual",0,NA,NA,NA
"149","Asparagopsis armata","CN04",0,"Southwest England","Asparagopsis","St Ives","Rhodophyta","Visual",0,NA,NA,NA
"150","Asparagopsis armata","CN05",0,"Southwest England","Asparagopsis","Trevone","Rhodophyta","Visual",0,NA,NA,NA
"151","Asparagopsis armata","NE01",0,"Northeast England","Asparagopsis","Filey Brigg","Rhodophyta","Visual",0,NA,NA,NA
"152","Asparagopsis armata","NE02",0,"Northeast England","Asparagopsis","Scalby Mills","Rhodophyta","Visual",0,NA,NA,NA
"153","Asparagopsis armata","NE03",0,"Northeast England","Asparagopsis","Rumbling Kern","Rhodophyta","Visual",0,NA,NA,NA
"154","Asparagopsis armata","NE04",0,"Northeast England","Asparagopsis","Newton Point","Rhodophyta","Visual",0,NA,NA,NA
"155","Asparagopsis armata","NE05",0,"Northeast England","Asparagopsis","Castlehead Rocks","Rhodophyta","Visual",0,NA,NA,NA
"156","Asparagopsis armata","NW01",0,"North Wales","Asparagopsis","Little Orme","Rhodophyta","Visual",0,NA,NA,NA
"157","Asparagopsis armata","NW02",0,"North Wales","Asparagopsis","Great Orme East","Rhodophyta","Visual",0,NA,NA,NA
"158","Asparagopsis armata","NW03",0,"North Wales","Asparagopsis","Menai Bridge","Rhodophyta","Visual",0,NA,NA,NA
"159","Asparagopsis armata","NW04",0,"North Wales","Asparagopsis","Porth Swtan","Rhodophyta","Visual",0,NA,NA,NA
"160","Asparagopsis armata","NW05",0,"North Wales","Asparagopsis","Rhosneigr","Rhodophyta","Visual",0,NA,NA,NA
"161","Asparagopsis armata","NW06",0,"North Wales","Asparagopsis","Porth Oer","Rhodophyta","Visual",0,NA,NA,NA
"162","Asparagopsis armata","SCH01",0,"Scotland","Asparagopsis","Scourie","Rhodophyta","Visual",0,NA,NA,NA
"163","Asparagopsis armata","SCH02",0,"Scotland","Asparagopsis","Rispond","Rhodophyta","Visual",0,NA,NA,NA
"164","Asparagopsis armata","SCH03",0,"Scotland","Asparagopsis","Skerray","Rhodophyta","Visual",0,NA,NA,NA
"165","Asparagopsis armata","SCH04",0,"Scotland","Asparagopsis","Murkle Bay","Rhodophyta","Visual",0,NA,NA,NA
"166","Asparagopsis armata","SCH05",0,"Scotland","Asparagopsis","Portskerra","Rhodophyta","Visual",0,NA,NA,NA
"167","Asparagopsis armata","SCH07",0,"Scotland","Asparagopsis","Sannick","Rhodophyta","Visual",0,NA,NA,NA
"168","Asparagopsis armata","SCH08",0,"Scotland","Asparagopsis","Wick","Rhodophyta","Visual",0,NA,NA,NA
"169","Asparagopsis armata","SW01",0,"South Wales","Asparagopsis","Aberystwyth","Rhodophyta","Visual",0,NA,NA,NA
"170","Asparagopsis armata","SW02",0,"South Wales","Asparagopsis","Neyland","Rhodophyta","Visual",0,NA,NA,NA
"171","Asparagopsis armata","SW03",0,"South Wales","Asparagopsis","Broad Haven","Rhodophyta","Visual",0,NA,NA,NA
"172","Asparagopsis armata","SW05",0,"South Wales","Asparagopsis","West Angle","Rhodophyta","Visual",0,NA,NA,NA
"173","Asparagopsis armata","SW06",0,"South Wales","Asparagopsis","Monkstone Point","Rhodophyta","Visual",0,NA,NA,NA
"174","Asparagopsis armata","SW07",0,"South Wales","Asparagopsis","Dale Jetty","Rhodophyta","Visual",0,NA,NA,NA
"175","Asterias rubens","CN01",0,"Southwest England","Asterias","Lizard Point","Echinodermata","Visual",0,NA,NA,NA
"176","Asterias rubens","CN02",0,"Southwest England","Asterias","Sennen Cove","Echinodermata","Visual",0,NA,NA,NA
"177","Asterias rubens","CN03",0,"Southwest England","Asterias","Looe","Echinodermata","Visual",0,NA,NA,NA
"178","Asterias rubens","CN04",0,"Southwest England","Asterias","St Ives","Echinodermata","Visual",0,NA,NA,NA
"179","Asterias rubens","CN05",0,"Southwest England","Asterias","Trevone","Echinodermata","Visual",0,NA,NA,NA
"180","Asterias rubens","NE01",0,"Northeast England","Asterias","Filey Brigg","Echinodermata","Visual",0,NA,NA,NA
"181","Asterias rubens","NE02",0,"Northeast England","Asterias","Scalby Mills","Echinodermata","Visual",0,NA,NA,NA
"182","Asterias rubens","NE03",0,"Northeast England","Asterias","Rumbling Kern","Echinodermata","Visual",0,NA,NA,NA
"183","Asterias rubens","NE04",0,"Northeast England","Asterias","Newton Point","Echinodermata","Visual",0,NA,NA,NA
"184","Asterias rubens","NE05",1.041392685,"Northeast England","Asterias","Castlehead Rocks","Echinodermata","Visual",1,NA,NA,NA
"185","Asterias rubens","NW01",0,"North Wales","Asterias","Little Orme","Echinodermata","Visual",0,NA,NA,NA
"186","Asterias rubens","NW02",0,"North Wales","Asterias","Great Orme East","Echinodermata","Visual",0,NA,NA,NA
"187","Asterias rubens","NW03",0,"North Wales","Asterias","Menai Bridge","Echinodermata","Visual",0,NA,NA,NA
"188","Asterias rubens","NW04",0,"North Wales","Asterias","Porth Swtan","Echinodermata","Visual",0,NA,NA,NA
"189","Asterias rubens","NW05",0,"North Wales","Asterias","Rhosneigr","Echinodermata","Visual",0,NA,NA,NA
"190","Asterias rubens","NW06",0,"North Wales","Asterias","Porth Oer","Echinodermata","Visual",0,NA,NA,NA
"191","Asterias rubens","SCH01",0,"Scotland","Asterias","Scourie","Echinodermata","Visual",0,NA,NA,NA
"192","Asterias rubens","SCH02",0,"Scotland","Asterias","Rispond","Echinodermata","Visual",0,NA,NA,NA
"193","Asterias rubens","SCH03",0,"Scotland","Asterias","Skerray","Echinodermata","Visual",0,NA,NA,NA
"194","Asterias rubens","SCH04",0,"Scotland","Asterias","Murkle Bay","Echinodermata","Visual",0,NA,NA,NA
"195","Asterias rubens","SCH05",0,"Scotland","Asterias","Portskerra","Echinodermata","Visual",0,NA,NA,NA
"196","Asterias rubens","SCH07",0,"Scotland","Asterias","Sannick","Echinodermata","Visual",0,NA,NA,NA
"197","Asterias rubens","SCH08",0,"Scotland","Asterias","Wick","Echinodermata","Visual",0,NA,NA,NA
"198","Asterias rubens","SW01",0,"South Wales","Asterias","Aberystwyth","Echinodermata","Visual",0,NA,NA,NA
"199","Asterias rubens","SW02",0,"South Wales","Asterias","Neyland","Echinodermata","Visual",0,NA,NA,NA
"200","Asterias rubens","SW03",0,"South Wales","Asterias","Broad Haven","Echinodermata","Visual",0,NA,NA,NA
"201","Asterias rubens","SW05",0,"South Wales","Asterias","West Angle","Echinodermata","Visual",0,NA,NA,NA
"202","Asterias rubens","SW06",0,"South Wales","Asterias","Monkstone Point","Echinodermata","Visual",0,NA,NA,NA
"203","Asterias rubens","SW07",0,"South Wales","Asterias","Dale Jetty","Echinodermata","Visual",0,NA,NA,NA
"204","Asterocarpa humilis","CN01",0,"Southwest England","Asterocarpa","Lizard Point","Chordata","Visual",0,NA,NA,NA
"205","Asterocarpa humilis","CN02",0,"Southwest England","Asterocarpa","Sennen Cove","Chordata","Visual",0,NA,NA,NA
"206","Asterocarpa humilis","CN03",0,"Southwest England","Asterocarpa","Looe","Chordata","Visual",0,NA,NA,NA
"207","Asterocarpa humilis","CN04",0,"Southwest England","Asterocarpa","St Ives","Chordata","Visual",0,NA,NA,NA
"208","Asterocarpa humilis","CN05",0,"Southwest England","Asterocarpa","Trevone","Chordata","Visual",0,NA,NA,NA
"209","Asterocarpa humilis","NE01",0,"Northeast England","Asterocarpa","Filey Brigg","Chordata","Visual",0,NA,NA,NA
"210","Asterocarpa humilis","NE02",0,"Northeast England","Asterocarpa","Scalby Mills","Chordata","Visual",0,NA,NA,NA
"211","Asterocarpa humilis","NE03",0,"Northeast England","Asterocarpa","Rumbling Kern","Chordata","Visual",0,NA,NA,NA
"212","Asterocarpa humilis","NE04",0,"Northeast England","Asterocarpa","Newton Point","Chordata","Visual",0,NA,NA,NA
"213","Asterocarpa humilis","NE05",0,"Northeast England","Asterocarpa","Castlehead Rocks","Chordata","Visual",0,NA,NA,NA
"214","Asterocarpa humilis","NW01",0,"North Wales","Asterocarpa","Little Orme","Chordata","Visual",0,NA,NA,NA
"215","Asterocarpa humilis","NW02",0,"North Wales","Asterocarpa","Great Orme East","Chordata","Visual",0,NA,NA,NA
"216","Asterocarpa humilis","NW03",0,"North Wales","Asterocarpa","Menai Bridge","Chordata","Visual",0,NA,NA,NA
"217","Asterocarpa humilis","NW04",0,"North Wales","Asterocarpa","Porth Swtan","Chordata","Visual",0,NA,NA,NA
"218","Asterocarpa humilis","NW05",0,"North Wales","Asterocarpa","Rhosneigr","Chordata","Visual",0,NA,NA,NA
"219","Asterocarpa humilis","NW06",0,"North Wales","Asterocarpa","Porth Oer","Chordata","Visual",0,NA,NA,NA
"220","Asterocarpa humilis","SCH01",0,"Scotland","Asterocarpa","Scourie","Chordata","Visual",0,NA,NA,NA
"221","Asterocarpa humilis","SCH02",0,"Scotland","Asterocarpa","Rispond","Chordata","Visual",0,NA,NA,NA
"222","Asterocarpa humilis","SCH03",0,"Scotland","Asterocarpa","Skerray","Chordata","Visual",0,NA,NA,NA
"223","Asterocarpa humilis","SCH04",0,"Scotland","Asterocarpa","Murkle Bay","Chordata","Visual",0,NA,NA,NA
"224","Asterocarpa humilis","SCH05",0,"Scotland","Asterocarpa","Portskerra","Chordata","Visual",0,NA,NA,NA
"225","Asterocarpa humilis","SCH07",0,"Scotland","Asterocarpa","Sannick","Chordata","Visual",0,NA,NA,NA
"226","Asterocarpa humilis","SCH08",0,"Scotland","Asterocarpa","Wick","Chordata","Visual",0,NA,NA,NA
"227","Asterocarpa humilis","SW01",0,"South Wales","Asterocarpa","Aberystwyth","Chordata","Visual",0,NA,NA,NA
