"taxa","region","eDNA_detected","visual_detected","total_detected","perc_match","more_detected"
"Chthamalus stellatus","Scotland",1,2,3,33.3333333333333,"Visual"
"Chthamalus stellatus","South Wales",1,4,5,20,"Visual"
"Chthamalus stellatus","Southwest England",2,5,7,28.5714285714286,"Visual"
"Clibanarius erythropus","Southwest England",0,2,2,0,"Visual"
"Codium spp","North Wales",0,1,1,0,"Visual"
"Codium spp","Southwest England",0,3,3,0,"Visual"
"Colpomenia peregrina","North Wales",0,1,1,0,"Visual"
"Colpomenia peregrina","Northeast England",0,1,1,0,"Visual"
"Colpomenia peregrina","Scotland",1,0,1,100,"eDNA"
"Colpomenia peregrina","South Wales",1,0,1,100,"eDNA"
"Colpomenia peregrina","Southwest England",3,1,4,75,"eDNA"
"Corella eumyota","North Wales",3,0,3,100,"eDNA"
"Corella eumyota","Northeast England",1,0,1,100,"eDNA"
"Corella eumyota","South Wales",1,2,3,33.3333333333333,"Visual"
"Crepidula fornicata","South Wales",0,1,1,0,"Visual"
"Dasysiphonia japonica","Scotland",1,0,1,100,"eDNA"
"Dasysiphonia japonica","Southwest England",1,0,1,100,"eDNA"
"Dendrodoa grossularia","Northeast England",1,0,1,100,"eDNA"
"Dendrodoa grossularia","Scotland",1,0,1,100,"eDNA"
"Dendrodoa grossularia","South Wales",1,0,1,100,"eDNA"
"Ericaria selaginoides","Southwest England",0,2,2,0,"Visual"
"Fucus serratus","North Wales",6,6,12,50,"Equal"
"Fucus serratus","Northeast England",5,5,10,50,"Equal"
"Fucus serratus","Scotland",7,7,14,50,"Equal"
"Fucus serratus","South Wales",5,6,11,45.4545454545455,"Visual"
"Fucus serratus","Southwest England",4,5,9,44.4444444444444,"Visual"
"Fucus spiralis","North Wales",0,6,6,0,"Visual"
"Fucus spiralis","Northeast England",0,5,5,0,"Visual"
"Fucus spiralis","Scotland",0,7,7,0,"Visual"
"Fucus spiralis","South Wales",0,5,5,0,"Visual"
"Fucus spiralis","Southwest England",0,5,5,0,"Visual"
"Fucus vesiculosus","North Wales",0,6,6,0,"Visual"
"Fucus vesiculosus","Northeast England",0,5,5,0,"Visual"
"Fucus vesiculosus","Scotland",0,7,7,0,"Visual"
"Fucus vesiculosus","South Wales",0,5,5,0,"Visual"
"Fucus vesiculosus","Southwest England",0,5,5,0,"Visual"
"Gongolaria baccata","Southwest England",4,1,5,80,"eDNA"
"Grateloupia turuturu","Southwest England",1,2,3,33.3333333333333,"Visual"
"Halichondria panicea","Northeast England",0,1,1,0,"Visual"
"Halichondria panicea","Scotland",0,2,2,0,"Visual"
"Halichondria panicea","South Wales",0,2,2,0,"Visual"
"Halichondria panicea","Southwest England",0,5,5,0,"Visual"
"Halidrys siliquosa","North Wales",3,3,6,50,"Equal"
"Halidrys siliquosa","Northeast England",5,4,9,55.5555555555556,"eDNA"
"Halidrys siliquosa","Scotland",4,2,6,66.6666666666667,"eDNA"
"Halidrys siliquosa","South Wales",1,0,1,100,"eDNA"
"Halidrys siliquosa","Southwest England",5,1,6,83.3333333333333,"eDNA"
"Himanthalia elongata","North Wales",2,0,2,100,"eDNA"
"Himanthalia elongata","Northeast England",4,4,8,50,"Equal"
"Himanthalia elongata","Scotland",6,4,10,60,"eDNA"
"Himanthalia elongata","South Wales",4,1,5,80,"eDNA"
"Himanthalia elongata","Southwest England",5,5,10,50,"Equal"
"Hymeniacidon perlevis","North Wales",0,4,4,0,"Visual"
"Hymeniacidon perlevis","Scotland",1,1,2,50,"Equal"
"Hymeniacidon perlevis","South Wales",0,6,6,0,"Visual"
"Hymeniacidon perlevis","Southwest England",0,5,5,0,"Visual"
"Laminaria digitata","North Wales",0,3,3,0,"Visual"
"Laminaria digitata","Northeast England",0,4,4,0,"Visual"
"Laminaria digitata","Scotland",0,7,7,0,"Visual"
"Laminaria digitata","South Wales",0,4,4,0,"Visual"
"Laminaria digitata","Southwest England",0,4,4,0,"Visual"
"Laminaria hyperborea","North Wales",1,1,2,50,"Equal"
"Laminaria hyperborea","Northeast England",5,4,9,55.5555555555556,"eDNA"
"Laminaria hyperborea","Scotland",3,4,7,42.8571428571429,"Visual"
"Laminaria hyperborea","South Wales",1,1,2,50,"Equal"
"Laminaria hyperborea","Southwest England",2,3,5,40,"Visual"
"Lichina pygmaea","Scotland",0,6,6,0,"Visual"
"Lichina pygmaea","South Wales",0,2,2,0,"Visual"
"Lichina pygmaea","Southwest England",0,5,5,0,"Visual"
"Littorina littorea","North Wales",4,6,10,40,"Visual"
"Littorina littorea","Northeast England",5,5,10,50,"Equal"
"Littorina littorea","Scotland",6,7,13,46.1538461538462,"Visual"
"Littorina littorea","South Wales",2,5,7,28.5714285714286,"Visual"
"Littorina littorea","Southwest England",3,3,6,50,"Equal"
"Littorina saxatilis","North Wales",0,4,4,0,"Visual"
"Littorina saxatilis","Northeast England",1,4,5,20,"Visual"
"Littorina saxatilis","Scotland",3,7,10,30,"Visual"
"Littorina saxatilis","South Wales",2,5,7,28.5714285714286,"Visual"
"Littorina saxatilis","Southwest England",0,5,5,0,"Visual"
"Mastocarpus stellatus","North Wales",4,3,7,57.1428571428571,"eDNA"
"Mastocarpus stellatus","Northeast England",5,4,9,55.5555555555556,"eDNA"
"Mastocarpus stellatus","Scotland",5,3,8,62.5,"eDNA"
"Mastocarpus stellatus","South Wales",5,4,9,55.5555555555556,"eDNA"
"Mastocarpus stellatus","Southwest England",5,4,9,55.5555555555556,"eDNA"
"Melarhaphe neritoides","North Wales",0,4,4,0,"Visual"
"Melarhaphe neritoides","Northeast England",1,2,3,33.3333333333333,"Visual"
"Melarhaphe neritoides","Scotland",1,5,6,16.6666666666667,"Visual"
"Melarhaphe neritoides","South Wales",1,2,3,33.3333333333333,"Visual"
"Melarhaphe neritoides","Southwest England",4,5,9,44.4444444444444,"Visual"
"Mytilus spp","North Wales",0,1,1,0,"Visual"
"Mytilus spp","Northeast England",4,0,4,100,"eDNA"
"Mytilus spp","Scotland",1,4,5,20,"Visual"
"Mytilus spp","South Wales",3,2,5,60,"eDNA"
"Mytilus spp","Southwest England",2,4,6,33.3333333333333,"Visual"
"Nucella lapillus","North Wales",1,6,7,14.2857142857143,"Visual"
"Nucella lapillus","Northeast England",1,5,6,16.6666666666667,"Visual"
"Nucella lapillus","Scotland",1,7,8,12.5,"Visual"
"Nucella lapillus","South Wales",1,5,6,16.6666666666667,"Visual"
"Nucella lapillus","Southwest England",1,5,6,16.6666666666667,"Visual"
"Onchidella celtica","Southwest England",0,1,1,0,"Visual"
"Palmaria palmata","North Wales",0,3,3,0,"Visual"
"Palmaria palmata","Northeast England",0,3,3,0,"Visual"
"Palmaria palmata","Scotland",2,2,4,50,"Equal"
"Palmaria palmata","South Wales",0,2,2,0,"Visual"
"Palmaria palmata","Southwest England",0,5,5,0,"Visual"
"Patella depressa","South Wales",2,5,7,28.5714285714286,"Visual"
"Patella depressa","Southwest England",3,5,8,37.5,"Visual"
"Patella pellucida","Northeast England",2,2,4,50,"Equal"
"Patella pellucida","Scotland",6,0,6,100,"eDNA"
"Patella pellucida","Southwest England",3,0,3,100,"eDNA"
"Patella ulyssiponensis","North Wales",0,2,2,0,"Visual"
"Patella ulyssiponensis","Northeast England",1,4,5,20,"Visual"
"Patella ulyssiponensis","Scotland",0,3,3,0,"Visual"
"Patella ulyssiponensis","South Wales",0,1,1,0,"Visual"
"Patella ulyssiponensis","Southwest England",0,5,5,0,"Visual"
"Patella vulgata","North Wales",3,6,9,33.3333333333333,"Visual"
"Patella vulgata","Northeast England",2,5,7,28.5714285714286,"Visual"
"Patella vulgata","Scotland",6,7,13,46.1538461538462,"Visual"
"Patella vulgata","South Wales",5,6,11,45.4545454545455,"Visual"
"Patella vulgata","Southwest England",3,5,8,37.5,"Visual"
"Pelvetia canaliculata","North Wales",0,4,4,0,"Visual"
"Pelvetia canaliculata","Northeast England",0,3,3,0,"Visual"
"Pelvetia canaliculata","Scotland",0,7,7,0,"Visual"
"Pelvetia canaliculata","South Wales",0,4,4,0,"Visual"
"Pelvetia canaliculata","Southwest England",0,4,4,0,"Visual"
"Perforatus perforatus","South Wales",2,3,5,40,"Visual"
"Perforatus perforatus","Southwest England",2,5,7,28.5714285714286,"Visual"
"Phorcus lineatus","North Wales",2,4,6,33.3333333333333,"Visual"
"Phorcus lineatus","South Wales",3,5,8,37.5,"Visual"
"Phorcus lineatus","Southwest England",3,4,7,42.8571428571429,"Visual"
"Sabellaria alveolata","North Wales",5,0,5,100,"eDNA"
"Sabellaria alveolata","Northeast England",2,0,2,100,"eDNA"
"Sabellaria alveolata","Scotland",2,0,2,100,"eDNA"
"Sabellaria alveolata","South Wales",3,0,3,100,"eDNA"
"Sabellaria alveolata","Southwest England",4,1,5,80,"eDNA"
"Saccharina latissima","North Wales",0,1,1,0,"Visual"
"Saccharina latissima","Northeast England",0,1,1,0,"Visual"
"Saccharina latissima","Scotland",0,2,2,0,"Visual"
"Saccharina latissima","Southwest England",0,2,2,0,"Visual"
"Saccorhiza polyschides","North Wales",0,2,2,0,"Visual"
"Saccorhiza polyschides","Scotland",1,0,1,100,"eDNA"
"Saccorhiza polyschides","South Wales",1,1,2,50,"Equal"
"Saccorhiza polyschides","Southwest England",3,3,6,50,"Equal"
"Sargassum muticum","North Wales",0,2,2,0,"Visual"
"Sargassum muticum","South Wales",0,2,2,0,"Visual"
"Sargassum muticum","Southwest England",0,4,4,0,"Visual"
"Semibalanus balanoides","North Wales",5,6,11,45.4545454545455,"Visual"
"Semibalanus balanoides","Northeast England",2,5,7,28.5714285714286,"Visual"
"Semibalanus balanoides","Scotland",7,7,14,50,"Equal"
"Semibalanus balanoides","South Wales",2,6,8,25,"Visual"
"Semibalanus balanoides","Southwest England",4,5,9,44.4444444444444,"Visual"
"Steromphala cineraria","North Wales",3,3,6,50,"Equal"
"Steromphala cineraria","Northeast England",4,3,7,57.1428571428571,"eDNA"
"Steromphala cineraria","Scotland",6,6,12,50,"Equal"
"Steromphala cineraria","South Wales",4,3,7,57.1428571428571,"eDNA"
"Steromphala cineraria","Southwest England",5,4,9,55.5555555555556,"eDNA"
"Steromphala umbilicalis","North Wales",4,5,9,44.4444444444444,"Visual"
"Steromphala umbilicalis","Scotland",3,4,7,42.8571428571429,"Visual"
"Steromphala umbilicalis","South Wales",5,6,11,45.4545454545455,"Visual"
"Steromphala umbilicalis","Southwest England",3,5,8,37.5,"Visual"
